TEAM,RECORD,PF,PA,OVER,OFF,PAS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC,PSR_POINTS,PSR_QB,SOS_TO_DATE,SOS_REMAIN,PROJ_WINS,PROJ_PLAYOFFS,PROJ_DIV,PROJ_CONF,PROJ_SB
ARI,2 - 5,153,154,68.8,66.5,72.3,59.5,68.3,68.1,53.1,60.6,57.1,49.0,62.6,60.7,88.7,-1.2767635,4,30,8,6.0005,5.17,0.49,0.37,0.17
ATL,3 - 4,120,154,70.7,70.3,60.7,67.1,70.7,75.3,65.4,63.6,56.1,65.5,73.6,58.3,62.2,-1.8215868,1.5,11,30,7.7594,19.26,5.33,0.76,0.37
BAL,2 - 5,174,210,66.2,68.2,57.4,55.5,73.0,69.3,68.0,58.8,52.9,72.0,62.3,58.9,69.1,4.49423,7,2,29,8.8364,58.05,53.71,8.21,4.66
BUF,5 - 2,207,146,80.2,81.6,81.2,67.2,71.8,85.8,78.0,58.5,51.9,31.3,81.3,45.8,87.0,5.5186399,7,31,21,11.8194,90.28,60.47,20,11.39
CAR,4 - 4,154,192,71.9,71.7,65.4,61.8,64.9,78.3,78.5,62.0,65.4,52.2,61.9,54.9,64.3,-2.6529181,1.5,27,19,7.6588,20.23,9.81,0.77,0.21
CHI,4 - 3,168,185,75.6,71.8,64.6,65.4,74.8,74.7,65.8,64.1,67.1,57.7,63.9,60.6,91.5,-0.7982901,2.5,23,9,8.4027,26.92,3.55,1.56,0.68
CIN,3 - 5,174,253,64.9,66.3,69.4,48.7,72.1,77.5,42.5,54.7,48.8,44.2,64.5,51.6,78.6,-4.1643651,1.5,19,20,6.7642,12.84,9.52,1.22,0.55
CLE,2 - 6,126,184,69.1,53.9,53.7,35.6,57.8,72.7,54.9,85.3,86.7,73.2,89.3,66.7,90.5,-6.1145858,0,1,27,5.1029,1.41,1.07,0.01,0
DAL,3 - 4 - 1,246,250,72.7,78.5,88.5,50.6,79.0,72.6,67.6,47.0,35.9,56.6,69.7,43.0,81.0,-1.7530679,5.5,14,5,7.2495,12.12,5.48,0.67,0.18
DEN,6 - 2,207,151,77.4,71.4,70.0,78.4,65.9,78.1,64.8,69.7,73.4,56.2,75.4,56.0,79.8,3.0189302,2,25,2,10.863,75.62,31.93,9.89,5.25
DET,5 - 2,215,151,90.7,78.6,65.6,62.4,82.1,71.7,75.8,82.5,76.8,71.6,85.6,73.9,90.4,5.5659215,4,3,10,11.4142,83.96,38.37,16.73,8.26
